"drw_no";"drwt_no1";"drwt_no2";"drwt_no3";"drwt_no4";"drwt_no5";"drwt_no6";"bnus_no";"win_1_money";"win_1_count";"win_2_money";"win_2_count"
47;14;17;26;31;36;45;27;3250042400;5;246215300;11
48;6;10;18;26;37;38;3;2415673600;6;96626900;25
49;4;7;16;19;33;40;30;1967504600;7;46845300;49
50;2;10;12;15;22;44;1;5227061400;3;186680700;14
51;2;3;11;16;26;44;35;2421117000;6;93119800;26
52;2;4;15;16;20;29;1;3900844900;4;200043300;13
53;7;8;14;32;33;39;42;5014371000;3;100287400;25
54;1;8;21;27;36;39;37;5148626600;3;171620800;15
55;17;21;31;37;40;44;7;7088799600;2;98455500;24
56;10;14;30;31;33;37;19;3777570900;4;86840700;29
57;7;10;16;25;29;44;6;4114411900;4;109717600;25
58;10;24;25;33;40;44;1;3676429200;4;62844900;39
59;6;29;36;39;41;45;13;4127587300;4;119640200;23
60;2;8;25;36;39;42;11;2172504600;7;93873600;27
61;14;15;19;30;38;43;8;3541038800;5;268260500;11
62;3;8;15;27;29;35;21;15817286400;1;119827900;22
63;3;20;23;36;38;40;5;7922245500;2;101567200;26
64;14;15;18;21;26;36;39;3899818000;4;236352600;11
65;4;25;33;36;40;43;39;3727945800;4;92048000;27
66;2;3;7;17;22;24;45;3685138200;4;129303000;19
67;3;7;10;15;36;38;33;2114436500;7;39787700;62
68;10;12;15;16;26;39;38;2945882100;5;122745000;20
69;5;8;14;15;19;39;35;4962712200;3;124067800;20
70;5;19;22;25;28;43;26;5031277800;3;179688400;14
71;5;9;12;16;29;41;21;0;0;88745200;28
72;2;4;11;17;26;27;1;3260524600;13;104081800;44
73;3;12;18;32;40;43;38;2766662100;6;106410000;26
74;6;15;17;18;35;40;23;5284949800;3;66061800;40
75;2;5;24;32;34;44;28;3914616900;4;137354900;19
76;1;3;15;22;25;37;43;7451022600;2;146098400;17
77;2;18;29;32;43;44;37;5155758600;3;135677800;19
78;10;13;25;29;33;35;38;3519850000;4;106662100;22
79;3;12;24;27;30;32;14;3416443800;4;73471910;31
80;17;18;24;25;26;30;1;13809540000;1;143849375;16
81;5;7;11;13;20;33;6;2714288880;5;113095370;20
82;1;2;3;14;27;42;39;14562494400;1;121354120;20
83;6;10;15;17;19;34;14;7086948300;2;157487740;15
84;16;23;27;34;42;45;11;7669779000;2;150387824;17
85;6;8;13;23;31;36;21;3462109800;4;74453975;31
86;2;12;37;39;41;45;33;14252186400;1;148460275;16
87;4;12;16;23;34;43;26;1799358055;11;99964337;33
88;1;17;20;24;30;41;27;3069709650;4;66015262;31
89;4;26;28;29;33;40;37;4248321900;3;70805365;30
90;17;20;29;35;38;44;10;3291435300;4;64537948;34
91;1;21;24;26;29;42;27;3582902400;4;74643800;32
92;3;14;24;33;35;36;17;1233270846;11;45219931;50
93;6;22;24;36;38;44;19;2269178150;6;87276083;26
94;5;32;34;40;41;45;6;2245339950;6;59087894;38
95;8;17;27;31;34;43;14;1747741238;8;48548368;48
96;1;3;8;21;22;31;20;1847133515;7;56710240;38
97;6;7;14;15;20;36;3;1496214000;9;48789587;46
98;6;9;16;23;24;32;43;3177972300;4;47081072;45
99;1;3;10;27;29;37;11;2169219050;6;54230477;40
100;1;7;11;23;37;42;6;3315315525;4;61394732;36
101;1;3;17;32;35;45;8;2707297500;5;59370560;38
